,0
580,179
581,282
582,755
583,469
584,148
585,611
586,544
587,731
588,406
589,664
590,68
591,495
592,437
593,312
594,480
595,405
596,186
597,429
598,183
599,82
600,380
601,934
602,277
603,50
604,817
605,646
606,244
607,290
608,56
609,30
610,660
611,566
612,91
613,281
614,481
615,557
616,439
617,300
618,111
619,472
620,119
621,546
622,695
623,360
624,892
625,230
626,516
627,102
628,470
629,166
630,937
631,923
632,414
633,442
634,608
635,975
636,696
637,31
638,647
639,457
640,670
641,365
642,241
643,895
644,15
645,52
646,326
647,169
648,305
649,374
650,840
651,219
652,116
653,99
654,651
655,541
656,829
657,904
658,76
659,294
660,852
661,836
662,200
663,734
664,993
665,342
666,727
667,375
668,293
669,482
670,403
671,411
672,298
673,408
674,716
675,790
676,77
677,287
678,537
679,72
680,685
681,630
682,340
683,415
684,168
685,319
686,873
687,435
688,448
689,662
690,599
691,811
692,954
693,426
694,613
695,147
696,639
697,684
698,915
699,739
700,932
701,413
702,689
703,637
704,803
705,654
706,693
707,540
708,707
709,176
710,59
711,34
712,778
713,201
714,344
715,834
716,533
717,607
718,588
719,530
720,982
721,536
722,921
723,848
724,900
725,401
726,712
727,933
728,362
729,558
730,952
731,841
732,679
733,750
734,351
735,6
736,466
737,805
738,713
739,855
740,623
741,774
742,658
743,938
744,709
745,162
746,642
747,384
748,635
749,587
750,203
751,786
752,766
753,929
754,899
755,704
756,703
757,768
758,527
759,313
760,92
761,745
762,157
763,391
764,568
765,854
766,211
767,452
768,616
769,529
770,521
771,510
772,901
773,467
774,711
775,688
776,358
777,278
778,725
779,692
780,292
781,334
782,675
783,239
784,717
785,144
786,697
787,547
788,665
789,503
790,820
791,648
792,822
793,18
794,590
795,443
796,726
797,242
798,53
799,968
